Term,Synonyms,Definition
abaxial,,"located on the lower side of a branch; facing away from an axis or branch. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
accessory,,"in addition to; also, appended to a main or central structure ( e.g., accessory branches in red algae in addition to vegetative ones). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
accessory pigment,,"a pigment other than chlorophyll ""a;' but functioning in photosynthesis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
acellular,,"not made up of distinct cells or lacking cross walls (see coenocyte). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
acroblastic branching,,"initials for this type of branching originate from (partsof) small lenticular segments of the apical cells of erect filaments (see p. 13 and fig. 9). (source: Prud’Homme van Reine, W. F. (1982). A taxonomic revision of the European Sphacelariaceae (Sphacelariales, Phaeophyceae). Leiden Botanical Series, 6(1), 3-293.)."
acrochaetioid,,"resembling the genus acrochaetium, a microscopic, filamentous, branched or unbranched (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
acroheteroblastic branching,,"two different types of structures are formed from the lenticular initial cell (fig. 9). (source: Prud’Homme van Reine, W. F. (1982). A taxonomic revision of the European Sphacelariaceae (Sphacelariales, Phaeophyceae). Leiden Botanical Series, 6(1), 3-293.)."
acrohomoblastic branching,,"only one type of structure is formed from the lenticular initial cell (fig. 9). (source: Prud’Homme van Reine, W. F. (1982). A taxonomic revision of the European Sphacelariaceae (Sphacelariales, Phaeophyceae). Leiden Botanical Series, 6(1), 3-293.)."
acronematic,,"a flagellum that lacks mastigonemes. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
acropetal,,"proceeding from the base or below it toward the apex. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
aculeate,,"prickly or spine-like; also having processes resembling prickles or spines. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
acuminate,,"tapered gradually to a pointed tip (see acute). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
acute,,"ending abruptly in a sharp point or spine (see acuminate). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ad pressed,,"lying flat for the whole length of the organ. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adaxial,,"on the side or face next to the main axis of a branch; towards the axis on the upper side of a branch (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adeloparasite,,"a parasite that infects a related host species (versus alloparasite). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adelphoparasite,,"a parasite that is closely related to its host; cf. alloparasite (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
adherent,,"sticking fast to an object or surface. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adjoined,,"joined together, weakly or tightly; said of filaments. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
adnate,,"attached or fused to another structure; pertaining to unlike parts that grow together. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adventitious,,"arising in an irregular manner or from an abnormal site. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adventive,,"not native or lately introduced. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adventive rhizoids,,"rhizoids formed in an abnormal position or manner. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
aegagropilous,,"in the form of an unattached clump, generally spherical and free rolling; branches radiate from the center and are usually intermeshed. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
aerobtastie,,"when branches originate from small lenticular segments of the apical cells (in sphacelariales). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
agamospore,,"a spore formed by mitotic cleavage of blade cells, without fertilisation, and germinating into conchocelis. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
agamospores,,"in the bangiales, spores formed by mitotic cleavage of blade cells; formed without fertilization and growing into a conchocelis stage. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
agar,,"a phycocolloid; a sulfated polysaccharide (i.e., a galactan) found in the cell walls and intercellular spaces of different rhodophyta (e.g., ahnfeltia, gelidium, gracilaria). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
agarophyte,,"a red alga that contains agar (e.g., graci/aria spp.). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
air-bladder,air bladder,"air-filled vesicle serving for flotation. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
akinete,,"non-motile asexual spore, with a wall incorporated in that of the parent cell. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
ala,alae | alate,"a flat lateral expansion or a wing. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
alga,algae | algal,"a general term applied to any taxon of photosynthetic, usually aquatic, non-vascular plants reproducing without cellular-jacketed antheridia and oogonia. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
alginic acid,,"a phycocolloid present in the cell walls of phaeophyta, consisting of a polysaccharide formed from β-1, 4-linked d-mannuronic acid and α-1, 4-linked l-guluronic acid units. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
aligned,,"rows of adjacent cells with end walls at same level (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
allantoid,,"shaped like a sausage. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
allelocysts,,"elongated, multinucleated, thick-walled, and lateral conducting elements in some kelps and members of the phyllariaceae (see solenocysts) (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
alloparasite,,"a parasite that is unrelated to its host; cf. adelphoparasite (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
alternate,,"placed singly, with change of side. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
alternately branched,,"branches appear on 2 sides of a stalk, alternating at different levels along the axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
alternation of generations,,"the alternation of a haploid sexual gamete-producing phase with a diploid spore-producing phase. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
alternative names,,"a taxonomic term referring to more than one name published at the same time by the same author for the same taxon. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
amoeboid,,"moving like an amoeba. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
amorphous,,"lacking a distinctive morphology or without a definite structure. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ampulla,ampullae,"a cluster of filaments that produces carpogonial branches or auxiliary cells as in some members of the gigartinales. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
amyloplasts,,"colorless starch-storing plastids. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
anastomose,anastomosing,"the fusion of adjacent parts to form a reticulum or network. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
anastomosing,,"branched and fused into a network. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
androgynous,,"the presence of separate male and female conceptacles in the same receptacle and thallus (see hermaphrodite). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
androphore,,"a stalk or structure bearing male reproductive organs. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
anisogametes,,"similar motile gametes of unequal size. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
anisogamy,,"the fusion of two similar motile gametes of unequal size. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
annual,,"a plant or frond lasting for only one year. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
annular,,"ring like, as applied to ridges or ingrowth of walls (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
anterior,,"towards the front or apex of a structure. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
antheridium,,"male reproductive organ, producing gametes. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
antherozoid,,"a male gamete. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
anticlinal,,"at right angles to the surface. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
antidinal,,"organized at right angles (perpendicular) to a designated surface. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
apex,,"the tip or point of a structure, (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
apical,,"relating to the apex or top. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
apical cell,,"terminal initial cell of a filament or thallus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
apical growth,,"growth occurring at the apex of an axis or branch. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
apical margin,,"margin of plant entirely comprising apical cells. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
apiculate,,"ending abruptly in short point (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
aplanosporangium,aplanosporangia,"a sporangium containing a non-motile spore (aplanospore) which germinates directly into a filament (e.g. in vaucheria). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
aplanospore,,"a nonmotile spore produced from and separate from its vegetative mother cell (see akinetes). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
apomeiosis,,"the formation of spores without meiosis. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
apomeiotic,,"formation of reproductive cells without meiosis. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
apomictic,,"reproducing asexually, without karyogamy and meiosis (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
apomixis,,"asexual reproduction that lacks meiosis or fusion of gametes. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
apomorphous,,a derived state of expression of a character (source: Algaebase (2021-05)).
apophysis,apophyses,"a tapering transition zone between stipe and blade. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
appendage,,"a lateral, usually irregularly positioned, short structure on an organ. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
applanate,,"flattened in one plane (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
apposed,,"arranged side by side. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
appressed,,"pressed together without being united (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
archeosporangia,,"in members of the bangiales a single celled sporangium (i.e., a mother cell) that produces archeospores. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
archeospore,,"a spore formed by differentiation of a vegetative cell which releases a single cell product that germinates into the blade/foliose phase. previously referred to as a monospore (see nelson et al. 1999). (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
arcuate,,"bent like a bow; spermatangial systems in melobesioideae (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
articulate,articulated,"segmented, jointed, or appearing as segmented, flexible branches (e.g., some members of the red algal order corallinales). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
ascocyst,,"an abnormal enlarged, hyaline, or darkly staining cell, usually empty when old. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
ascocysts,,"a unicellular, hyaline, paraphyses-like structure in brown algae. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
asexual,,"no sexual fusion in reproduction (see apomictic). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
assimilating filament,assimilating filaments,"photosynthetic filaments, hairs, or branches. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
assimilatory,,"filaments or cells which contain photosynthetic plastids. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
assurgent,,"curving obliquely upward or ascending; horizontal filaments that turn upward. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
astipitate,,"not having a stipe. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
asymmetric,,"being uneven or lacking symmetry. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
attenuate,,"slender, thin, tapering. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
auctorum non.,auct. non.,"taxonomic latin term ""of authors""; used in conjunction with nec or non for a misapplied name. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
auriculate,,"ear-shaped. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
author,,"a taxonomic term describing the person(s) whose name(s) or publication is attributed. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
autospore,,"nonmotile spores produced in parent cells that develop the same shape as the parent cell at an early stage before release. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
auxiliary cell,,"a specialized cell in the red algal class florideophyceae that receives the diploid nucleus, or its division products, from a fertilized carpogonium and often gives rise to gonimoblasts (see central cell). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
auxocaulic,,"growth of axes or branches by enlargement of medullary cells (e.g. cladostephaceae). (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
auxocaulous,,"describing species of sphacelariales (phaeophyta) whose primary tissues broaden after they are formed; also meaning, growth of an axis or branches by enlargement of medullary cells (cf. auxocaulus & leptocaulous)- e.g. the brown alga cladostephus (sphacelariales) 
 (source: Algaebase (2021-05))."
awn,,"a sharp, usually moderately elongate, terminal or lateral projection. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
axial,,"pertaining to the axis or central core of a branch. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
axial cell,,"one cell of axial filament, sometimes distinguishable among medullary cells in transverse section of axes. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
axial conceptacle,,"a medullary conceptacle originating in line with and terminating the axis of a branch; in the corallinoideae (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
axial filament,,"the central filament of a thallus or its branch. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
axil,,"the angle between the axis and a lateral branch or organ. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
axile,,"pertaining to an axis; situated around or along an axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
axillary,,"situated on, in, or from an axil. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
axis,,see fig. 23 below. (source: Hiscock Brown).
bacilloid,,"resembling bacteria, minute and elongate. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
bar code,bar-coded | bar-coding,"one or more short gene sequences taken from a standardized portion of the genome and used to identify an organism. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
barrel-shaped,,"cylindrical, with slightly convex sides and flat ends. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
basal cell,,"lower cell (also called foot cell) formed by division of auxiliary cell into two. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
basal filaments,,"unistratose, basal layer of thallus filaments (figs 1; 2a); in dimerous plants (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
basionym,,"the original name of a taxon (source: Irvine, L.M., & Chamberlain, Y.M. (1994). Seaweeds of the British Isles Vol 1: Rhodophyta; Part 2B Corallinales, Hildenbrandiales.)."
basipetal,,"developing from the apex toward the base the youngest structures are nearest the base. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
benthic,,"attached to or living on the sea bottom. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
bifid,,"divided into 2, usually by a v-shaped notch. (source: Hiscock Brown)."
biflagellate,,"having 2 flagella. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
bifurcate,,"divided into two branches or forks. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
bilateral,,"branching in 2 ranks on opposite sides of an axis. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
binary,binomial,"a taxonomic term consisting of a generic name and a specific epithet. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
binary fission,,"simple division of a unicell into two parts/unicells. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
binucleate,,"with two nuclei. (source: Maggs, C., & Hommersand, M. H. (1993). Seaweeds of the British Isles. Volume 1 Rhodophyta, Part 3A Ceramiales.)."
