Term,Synonyms,Definition
acute,,"ending abruptly in a sharp point or spine (see acuminate). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
adaxial,,"on the side or face next to the main axis of a branch; towards the axis on the upper side of a branch (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
agar,,"a phycocolloid; a sulfated polysaccharide (i.e., a galactan) found in the cell walls and intercellular spaces of different rhodophyta (e.g., ahnfeltia, gelidium, gracilaria). (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
air-bladder,air bladder,"air-filled vesicle serving for flotation. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
ala,alae | alate,"a flat lateral expansion or a wing. (source: Mathieson, A. C., & Dawes, C. J. (2017). Seaweeds of the northwest Atlantic.)."
alga,algae | algal,"a general term applied to any taxon of photosynthetic, usually aquatic, non-vascular plants reproducing without cellular-jacketed antheridia and oogonia. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
alternate,,"placed singly, with change of side. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
annual,,"a plant or frond lasting for only one year. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
apex,,"the tip or point of a structure, (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Adelaide.)."
apical,,"relating to the apex or top. (source: Brodie, J.A., & Irvine, L.M. (2003) Seaweeds of the British Isles - Vol. 1 Rhodophyta, Part 3B Bangiophycidae.)."
apical cell,,"terminal initial cell of a filament or thallus. (source: Womersley, H. B. S. (1987). The marine benthic flora of Southern Australia, Part II. Fletcher, R. L. (1987). Seaweeds of the British Isles, Vol. 3. Fucophyceae. Part 1.(Phaeophyceae).)."
